JobSubmissionTime,userID,jobID,JobType,JobDeadline,JobDuration, JobCompletionTime
2023-04-02T14:38:33.901484900,111,222,Conversion,0,0,0
2023-04-23T23:13:45.602568100,1222,333,Rendering,4444,123,123
2023-04-23T23:39:04.486115300,100,1200,Conversion,333,222,345
2023-04-23T23:57:06.457532200,123321,421,Rendering,44,33,378
2023-04-24T00:19:34.403260200,100,200,Conversion,400,300,678
2023-04-24T00:20:32.883356800,100,200,Conversion,400,300,978
2023-04-24T00:21:45.356875800,100,200,Reformatting,400,300,1278
2023-04-24T00:28:45.879351900,200,300,Processing,500,400,1678
2023-04-24T00:30:40.610016800,100,200,Conversion,400,300,1978
2023-04-24T00:32:16.402277700,100,200,Conversion,400,300,2278
2023-04-24T00:32:32.706796200,321,14213,Conversion,4445,4213,6491
2023-04-24T00:32:48.650403600,123,123,Conversion,321,43,6534
2023-04-24T00:57:20.319422,2002,3003,Conversion,40,30,6564
2023-04-24T01:07:50.779544,2002,3003,Conversion,30,20,6584
2023-04-24T01:12:53.948216,2002,3003,Reformatting,45,20,6604
2023-04-24T01:30:15.636706,2002,3003,Conversion,30,20,6624
2023-04-24T01:32:54.144712,2002,3003,Rendering,45,25,6649
2023-04-24T01:53:30.425618,2002,3003,Processing,60,40,6689
2023-04-24T01:55:36.785512,3004,2002,Conversion,40,20,6709
2023-04-24T01:56:59.370390,2002,3003,Rendering,30,20,6729
2023-04-24T02:02:01.993423,2002,3003,Conversion,40,30,6759
2023-04-24T02:04:27.437235,2002,3003,Rendering,30,20,6779
2023-04-24T02:12:18.261024,1001,2002,Conversion,40,20,6799
2023-04-24T00:38:05.566984,100,200,Conversion,400,300,6834
2023-04-24T00:38:28.839519800,500,2003,Conversion,40044,30044,36878
2023-04-24T03:49:48.603336400,100,200,Conversion,400,300,37443
2023-04-24T03:53:02.038277400,10,20,Conversion,40,30,37473
2023-04-24T03:53:48.042880600,20,30,Reformatting,20,04,37477
2023-04-24T03:54:53.999634800,10,20,Processing,40,30,37507
2023-04-24T04:04:48.543045400,100,200,Conversion,400,300,37807
2023-04-24T04:10:51.396065300,100,200,Rendering,400,300,38107
2023-04-24T04:14:22.041747900,100,200,Select Job Type,400,300,38407
2023-04-24T04:15:11.604456100,100,200,Select Job Type,400,300,38707
2023-04-24T04:17:28.948418700,100,200,Select Job Type,400,300,39007
2023-04-24T04:20:49.881667200,100,200,Select Job Type,400,300,39307
2023-04-24T04:22:42.909938200,100,200,Select Job Type,0,3,39310
2023-04-24T04:24:22.398403,100,200,Select Job Type,400,300,39610
2023-04-24T04:29:20.946940100,1,2,Select Job Type,3,4,39614
2023-04-24T04:33:04.154868700,1,2,Select Job Type,4,3,39617
2023-04-24T04:33:49.960357300,1,2,Rendering,4,3,39620
2023-04-24T04:34:24.275477800,12,31,Select Job Type,412,421,40041
2023-04-24T04:54:01.948552500,0,100,Rendering,400,300,40341
2023-04-24T04:58:18.022586400,0,100,Reformatting,400,300,40641
2023-04-24T04:58:59.281597400,0,100,Reformatting,500,300,40941
2023-04-24T05:01:43.499485700,0,100,Select Job Type,300,200,41141
2023-04-24T05:02:50.097563400,0,100,Rendering,300,200,41341
2023-04-24T05:03:59.766420200,0,12,Conversion,124,321,41662
2023-04-24T05:08:57.088808500,0,12,Reformatting,321,213,41875
2023-04-24T05:11:03.718001900,0,21,Select Job Type,41,312,42187
2023-04-24T10:07:19.261287700,0,100,Select Job Type,300,200,42387
2023-04-24T10:10:51.763049900,0,100,Conversion,200,100,42487
2023-04-24T10:13:32.197486400,0,100,Select Job Type,300,200,42687
2023-04-24T10:15:58.521966100,0,100,Select Job Type,300,200,42887
2023-04-24T10:19:25.489306500,0,200,Select Job Type,400,300,43187
2023-04-24T10:20:20.018913600,0,100,Conversion,300,200,43387
2023-04-24T10:21:04.359172,0,111,Conversion,333,222,43609
2023-04-24T10:22:36.234452800,0,101,Conversion,0303,0202,43811
2023-04-24T10:24:07.719015300,0,100,Conversion,300,200,44011
2023-04-24T10:26:24.205166900,0,100,Conversion,300,200,44211
2023-04-24T10:26:56.256883100,0,231,Conversion,987,1234,45445
2023-04-24T10:40:49.556936700,0,100,Reformatting,300,200,45645
